model,lambda,beta
Grok 4.1 Fast,0.0,8.613225371120107
Grok 4.1 Fast,0.0,8.505802968960863
Grok 4.1 Fast,0.08097165991902833,13.366666666666665
Grok 4.1 Fast,0.0,8.532658569500674
Grok 4.1 Fast,0.0,11.164507422402158
Grok 4.1 Fast,0.0,11.997031039136301
Grok 4.1 Fast,0.0,10.036572199730093
Grok 4.1 Fast,0.0,7.243589743589743
Grok 4.1 Fast,0.053981106612685556,8.96234817813765
Grok 4.1 Fast,0.0,9.794871794871794
Grok 4.1 Fast,0.20242914979757082,19.838866396761134
Grok 4.1 Fast,0.053981106612685556,11.325641025641024
Grok 4.1 Fast,0.0,9.338326585695006
Grok 4.1 Fast,0.0,11.782186234817813
Grok 4.1 Fast,0.0,11.48677462887989
Grok 4.1 Fast,0.0,10.573684210526315
Grok 4.1 Fast,0.053981106612685556,13.876923076923076
Grok 4.1 Fast,0.0,10.654251012145748
Grok 4.1 Fast,0.0,9.284615384615384
Grok 4.1 Fast,0.0,9.741160593792172
Grok 4.1 Fast,0.0,8.102968960863697
Grok 4.1 Fast,0.026990553306342778,11.621052631578946
Grok 4.1 Fast,0.0,9.44574898785425
Grok 4.1 Fast,0.08097165991902833,14.897435897435896
Grok 4.1 Fast,0.0,7.243589743589743
Grok 4.1 Fast,0.0,14.145479082321186
Grok 4.1 Fast,0.0,8.613225371120107
Grok 4.1 Fast,0.0,8.210391363022941
Grok 4.1 Fast,0.0,7.592712550607287
Grok 4.1 Fast,0.08097165991902833,15.407692307692306
GPT-5.4,0.0,3.8329284750337376
GPT-5.4,0.0,3.4300944669365716
GPT-5.4,0.20242914979757082,6.035087719298245
GPT-5.4,0.0,3.940350877192982
GPT-5.4,0.0,3.1615384615384614
GPT-5.4,0.0,3.6717948717948716
GPT-5.4,0.28340080971659914,8.747503373819162
GPT-5.4,0.0,4.020917678812415
GPT-5.4,0.3238866396761133,5.9008097165991895
GPT-5.4,0.10796221322537111,3.8597840755735486
GPT-5.4,0.0,3.9134952766531708
GPT-5.4,0.3238866396761133,4.665452091767881
GPT-5.4,0.16194331983805665,4.504318488529014
GPT-5.4,0.0,3.215249662618083
GPT-5.4,0.0,3.8329284750337376
GPT-5.4,0.0,7.404723346828609
GPT-5.4,0.08097165991902833,2.8124156545209176
GPT-5.4,0.0,4.6385964912280695
GPT-5.4,0.0,3.7255060728744933
GPT-5.4,0.2564102564102564,4.692307692307692
GPT-5.4,0.20242914979757082,6.142510121457489
GPT-5.4,0.08097165991902833,4.450607287449392
GPT-5.4,0.3238866396761133,7.753846153846153
GPT-5.4,0.3238866396761133,7.243589743589743
GPT-5.4,0.0,4.531174089068825
GPT-5.4,0.026990553306342778,5.0682860998650465
GPT-5.4,0.0,3.9134952766531708
GPT-5.4,0.28340080971659914,5.256275303643724
GPT-5.4,0.24291497975708498,4.6385964912280695
GPT-5.4,0.1349527665317139,3.5643724696356274
GPT-5.4,0.08097165991902833,4.558029689608636
GPT-5.4,0.24291497975708498,4.746018893387314
GPT-5.4,0.20242914979757082,5.014574898785424
GPT-5.4,0.0,3.9134952766531708
GPT-5.4,0.053981106612685556,3.64493927125506
GPT-5.4,0.0,5.0414304993252355
GPT-5.4,0.20242914979757082,5.739676113360323
GPT-5.4,0.0,3.4300944669365716
GPT-5.4,0.0,5.14885290148448
GPT-5.4,0.28340080971659914,5.8739541160593784
GPT-5.4,0.0,2.7049932523616733
GPT-5.4,0.0,3.0004048582995946
GPT-5.4,0.2564102564102564,7.753846153846153
GPT-5.4,0.20242914979757082,5.739676113360323
GPT-5.4,0.0,3.618083670715249
GPT-5.4,0.0,4.343184885290148
GPT-5.4,0.053981106612685556,2.597570850202429
GPT-5.4,0.0,4.423751686909581
GPT-5.4,0.10796221322537111,3.8597840755735486
GPT-5.4,0.0,4.020917678812415
GPT-5.4,0.28340080971659914,8.344669365721996
GPT-5.4,0.3238866396761133,6.518488529014844
GPT-5.4,0.1349527665317139,3.349527665317139
GPT-5.4,0.0,5.256275303643724
GPT-5.4,0.0,3.0004048582995946
GPT-5.4,0.16194331983805665,4.799730094466936
GPT-5.4,0.24291497975708498,6.357354925775978
GPT-5.4,0.0,4.2357624831309035
GPT-5.4,0.36437246963562747,6.7333333333333325
GPT-5.4,0.0,4.128340080971659
GPT-5.4,0.28340080971659914,4.558029689608636
GPT-5.4,0.20242914979757082,5.229419703103913
GPT-5.4,0.026990553306342778,4.343184885290148
GPT-5.4,0.026990553306342778,3.0004048582995946
GPT-5.4,0.026990553306342778,6.196221322537111
GPT-5.4,0.1349527665317139,4.692307692307692
GPT-5.4,0.0,3.0004048582995946
GPT-5.4,0.24291497975708498,5.14885290148448
GPT-5.4,0.0,3.7255060728744933
GPT-5.4,0.0,4.343184885290148
GPT-5.4,0.026990553306342778,3.215249662618083
GPT-5.4,0.0,5.0414304993252355
GPT-5.4,0.28340080971659914,5.766531713900134
GPT-5.4,0.0,3.618083670715249
GPT-5.4,0.36437246963562747,5.202564102564102
GPT-5.4,0.0,3.107827260458839
GPT-5.4,0.0,3.940350877192982
GPT-5.4,0.0,2.7049932523616733
GPT-5.4,0.0,5.256275303643724
GPT-5.4,0.36437246963562747,6.115654520917678
GPT-5.4,0.0,3.8329284750337376
GPT-5.4,0.0,4.423751686909581
GPT-5.4,0.0,4.128340080971659
GPT-5.4,0.16194331983805665,5.202564102564102
GPT-5.4,0.3238866396761133,5.9008097165991895
GPT-5.4,0.0,4.2357624831309035
GPT-5.4,0.0,3.3226720647773273
GPT-5.4,0.20242914979757082,5.927665317139001
GPT-5.4,0.16194331983805665,5.014574898785424
GPT-5.4,0.0,5.0414304993252355
GPT-5.4,0.28340080971659914,5.685964912280701
GPT-5.4,0.28340080971659914,5.0682860998650465
GPT-5.4,0.0,4.343184885290148
GPT-5.4,0.053981106612685556,3.215249662618083
GPT-5.4,0.0,4.343184885290148
GPT-5.4,0.3238866396761133,5.283130904183535
GPT-5.4,0.20242914979757082,6.3304993252361665
GPT-5.4,0.20242914979757082,7.243589743589743
GPT-5.4,0.28340080971659914,5.14885290148448
GPT-5.4,0.1349527665317139,4.370040485829959
GPT-5.4,0.16194331983805665,6.7333333333333325
GPT-5.4,0.0,3.3226720647773273
GPT-5.4,0.0,4.531174089068825
GPT-5.4,0.0,4.692307692307692
GPT-5.4,0.16194331983805665,5.202564102564102
GPT-5.4,0.10796221322537111,3.2421052631578946
GPT-5.4,0.28340080971659914,6.196221322537111
GPT-5.4,0.10796221322537111,4.665452091767881
GPT-5.4,0.0,4.692307692307692
GPT-5.4,0.20242914979757082,4.101484480431848
GPT-5.4,0.3238866396761133,5.4979757085020236
GPT-5.4,0.10796221322537111,3.64493927125506
GPT-5.4,0.20242914979757082,4.316329284750337
GPT-5.4,0.28340080971659914,4.6385964912280695
GPT-5.4,0.3238866396761133,6.3036437246963555
GPT-5.4,0.0,4.343184885290148
GPT-5.4,0.0,5.363697705802968
GPT-5.4,0.28340080971659914,4.558029689608636
GPT-5.4,0.24291497975708498,5.256275303643724
GPT-5.4,0.0,3.0004048582995946
GPT-5.4,0.3238866396761133,6.7333333333333325
GPT-5.4,0.24291497975708498,5.766531713900134
GPT-5.4,0.0,4.6385964912280695
GPT-5.4,0.1349527665317139,4.262618083670715
GPT-5.4,0.0,4.182051282051281
GPT-5.4,0.0,3.618083670715249
GPT-5.4,0.0,3.618083670715249
GPT-5.4,0.1349527665317139,6.115654520917678
GPT-5.4,0.0,4.960863697705802
GPT-5.4,0.3238866396761133,7.753846153846153
GPT-5.4,0.3238866396761133,5.685964912280701
GPT-5.4,0.0,4.531174089068825
GPT-5.4,0.28340080971659914,6.3036437246963555
GPT-5.4,0.0,3.6717948717948716
GPT-5.4,0.0,3.618083670715249
GPT-5.4,0.2564102564102564,6.7333333333333325
GPT-5.4,0.0,3.0004048582995946
GPT-5.4,0.20242914979757082,3.6986504723346827
GPT-5.4,0.0,5.256275303643724
GPT-5.4,0.0,5.14885290148448
GPT-5.4,0.026990553306342778,4.558029689608636
GPT-5.4,0.24291497975708498,3.7255060728744933
GPT-5.4,0.0,4.182051282051281
GPT-5.4,0.36437246963562747,4.692307692307692
GPT-5.4,0.0,3.4300944669365716
GPT-5.4,0.16194331983805665,5.712820512820512
GPT-5.4,0.16194331983805665,4.074628879892037
GPT-5.4,0.0,4.692307692307692
GPT-5.4,0.0,3.7255060728744933
GPT-5.4,0.1349527665317139,4.584885290148447
GPT-5.4,0.0,3.4032388663967605
GPT-5.4,0.16194331983805665,4.692307692307692
GPT-5.4,0.28340080971659914,4.047773279352226
GPT-5.4,0.3238866396761133,4.665452091767881
GPT-5.4,0.36437246963562747,5.095141700404858
GPT-5.4,0.1349527665317139,4.584885290148447
GPT-5.4,0.0,3.107827260458839
GPT-5.4,0.08097165991902833,3.1346828609986503
GPT-5.4,0.24291497975708498,5.65910931174089
GPT-5.4,0.0,3.4032388663967605
GPT-5.4,0.0,4.128340080971659
GPT-5.4,0.2564102564102564,5.712820512820512
GPT-5.4,0.0,4.746018893387314
GPT-5.4,0.08097165991902833,4.15519568151147
GPT-5.4,0.0,3.8329284750337376
GPT-5.4,0.24291497975708498,7.297300944669365
GPT-5.4,0.16194331983805665,4.90715249662618
GPT-5.4,0.0,4.020917678812415
GPT-5.4,0.3238866396761133,6.92132253711201
GPT-5.4,0.28340080971659914,5.578542510121457
GPT-5.4,0.16194331983805665,4.39689608636977
GPT-5.4,0.24291497975708498,5.766531713900134
GPT-5.4,0.0,3.3226720647773273
GPT-5.4,0.20242914979757082,7.1630229419703095
GPT-5.4,0.0,3.8329284750337376
GPT-5.4,0.16194331983805665,4.101484480431848
GPT-5.4,0.0,2.8929824561403503
GPT-5.4,0.08097165991902833,5.793387314439945
GPT-5.4,0.20242914979757082,4.316329284750337
GPT-5.4,0.20242914979757082,5.632253711201079
GPT-5.4,0.0,4.2357624831309035
GPT-5.4,0.0,4.128340080971659
GPT-5.4,0.0,3.215249662618083
GPT-5.4,0.053981106612685556,4.558029689608636
GPT-5.4,0.28340080971659914,4.746018893387314
GPT-5.4,0.026990553306342778,5.0682860998650465
GPT-5.4,0.20242914979757082,5.524831309041835
GPT-5.4,0.0,3.940350877192982
GPT-5.4,0.0,3.8329284750337376
GPT-5.4,0.1349527665317139,4.584885290148447
GPT-5.4,0.0,3.510661268556005
GPT-5.4,0.0,3.618083670715249
GPT-5.4,0.08097165991902833,4.370040485829959
GPT-5.4,0.24291497975708498,4.531174089068825
GPT-5.4,0.08097165991902833,3.64493927125506
GPT-5.4,0.026990553306342778,5.256275303643724
GPT-5.4,0.0,3.940350877192982
GPT-5.4,0.0,4.531174089068825
GPT-5.4,0.3238866396761133,5.712820512820512
GPT-5.4,0.20242914979757082,5.41740890688259
GPT-5.4,0.28340080971659914,3.940350877192982
GPT-5.4,0.20242914979757082,5.444264507422401
GPT-5.4,0.24291497975708498,7.377867746288798
GPT-5.4,0.36437246963562747,6.7333333333333325
GPT-5.4,0.28340080971659914,5.363697705802968
GPT-5.4,0.1349527665317139,5.202564102564102
GPT-5.4,0.3238866396761133,6.92132253711201
GPT-5.4,0.28340080971659914,4.960863697705802
GPT-5.4,0.026990553306342778,3.618083670715249
GPT-5.4,0.20242914979757082,3.6986504723346827
GPT-5.4,0.24291497975708498,5.847098515519567
GPT-5.4,0.0,2.8929824561403503
GPT-5.4,0.3238866396761133,5.685964912280701
GPT-5.4,0.10796221322537111,4.262618083670715
GPT-5.4,0.10796221322537111,3.349527665317139
GPT-5.4,0.0,3.618083670715249
GPT-5.4,0.0,2.651282051282051
GPT-5.4,0.053981106612685556,3.027260458839406
GPT-5.4,0.0,4.2357624831309035
GPT-5.4,0.2564102564102564,8.774358974358973
GPT-5.4,0.24291497975708498,4.826585695006747
GPT-5.4,0.20242914979757082,4.611740890688258
GPT-5.4,0.0,3.510661268556005
GPT-5.4,0.0,4.531174089068825
GPT-5.4,0.0,4.343184885290148
GPT-5.4,0.0,3.940350877192982
GPT-5.4,0.28340080971659914,5.363697705802968
GPT-5.4,0.0,3.1615384615384614
GPT-5.4,0.0,3.107827260458839
GPT-5.4,0.0,4.343184885290148
GPT-5.4,0.026990553306342778,3.940350877192982
GPT-5.4,0.1349527665317139,4.262618083670715
GPT-5.4,0.026990553306342778,4.047773279352226
GPT-5.4,0.16194331983805665,5.014574898785424
GPT-5.4,0.24291497975708498,5.14885290148448
GPT-5.4,0.28340080971659914,5.981376518218623
GPT-5.4,0.0,3.1615384615384614
GPT-5.4,0.16194331983805665,4.289473684210526
GPT-5.4,0.3238866396761133,5.578542510121457
GPT-5.4,0.24291497975708498,4.316329284750337
GPT-5.4,0.3238866396761133,6.223076923076922
GPT-5.4,0.0,4.182051282051281
GPT-5.4,0.0,3.8329284750337376
GPT-5.4,0.0,2.8124156545209176
GPT-5.4,0.0,4.020917678812415
GPT-5.4,0.36437246963562747,4.987719298245613
GPT-5.4,0.36437246963562747,4.074628879892037
GPT-5.4,0.16194331983805665,4.39689608636977
GPT-5.4,0.053981106612685556,6.92132253711201
GPT-5.4,0.053981106612685556,5.283130904183535
GPT-5.4,0.3238866396761133,4.987719298245613
GPT-5.4,0.20242914979757082,5.41740890688259
GPT-5.4,0.026990553306342778,4.746018893387314
GPT-5.4,0.20242914979757082,4.020917678812415
GPT-5.4,0.0,3.618083670715249
GPT-5.4,0.16194331983805665,2.973549257759784
GPT-5.4,0.3238866396761133,4.558029689608636
GPT-5.4,0.20242914979757082,6.035087719298245
GPT-5.4,0.0,4.343184885290148
GPT-5.4,0.20242914979757082,4.826585695006747
GPT-5.4,0.0,3.9134952766531708
GPT-5.4,0.0,3.6717948717948716
GPT-5.4,0.3238866396761133,5.283130904183535
GPT-5.4,0.0,3.107827260458839
GPT-5.4,0.24291497975708498,4.423751686909581
GPT-5.4,0.36437246963562747,6.223076923076922
GPT-5.4,0.0,3.510661268556005
GPT-5.4,0.16194331983805665,4.2089068825910925
GPT-5.4,0.0,4.423751686909581
GPT-5.4,0.16194331983805665,4.90715249662618
GPT-5.4,0.0,5.256275303643724
GPT-5.4,0.28340080971659914,5.363697705802968
GPT-5.4,0.0,3.7255060728744933
GPT-5.4,0.1349527665317139,5.095141700404858
GPT-5.4,0.1349527665317139,3.967206477732793
GPT-5.4,0.16194331983805665,5.202564102564102
GPT-5.4,0.3238866396761133,6.115654520917678
GPT-5.4,0.053981106612685556,3.8329284750337376
GPT-5.4,0.0,3.8329284750337376
GPT-5.4,0.20242914979757082,3.5912280701754384
GPT-5.4,0.20242914979757082,6.948178137651821
GPT-5.4,0.20242914979757082,4.719163292847503
GPT-5.4,0.053981106612685556,4.343184885290148
GPT-5.4,0.10796221322537111,3.8597840755735486
GPT-5.4,0.0,3.9134952766531708
GPT-5.4,0.20242914979757082,3.9134952766531708
GPT-5.4,0.24291497975708498,4.6385964912280695
GPT-5.4,0.20242914979757082,6.948178137651821
GPT-5.4,0.10796221322537111,4.772874493927125
GPT-5.4,0.08097165991902833,4.370040485829959
GPT-5.4,0.16194331983805665,4.101484480431848
GPT-5.4,0.0,4.182051282051281
GPT-5.4,0.0,4.343184885290148
GPT-5.4,0.0,5.65910931174089
GPT-5.4,0.24291497975708498,5.336842105263157
GPT-5.4,0.08097165991902833,4.450607287449392
GPT-5.4,0.0,3.510661268556005
GPT-5.4,0.0,3.7255060728744933
GPT-5.4,0.16194331983805665,3.6986504723346827
GPT-5.4,0.0,3.0004048582995946
